ORDER ID,PRODUCT ID,QUANTITY,UNIT PRICE,DISCOUNT_PCT,SALES AMOUNT
O0044,P038,4,305,0,1220
O0044,P001,4,6957,0,27828
O0045,P018,2,5724,0.15,9730.8
O0045,P021,4,4648,0.05,17662.4
O0045,P019,1,2188,0,2188
O0045,P022,1,7418,0.1,6676.2
O0046,P008,2,4364,0.1,7855.2
O0047,P001,3,6957,0,20871
O0047,P028,3,1445,0,4335
O0047,P013,3,4027,0.05,11476.95
O0047,P009,1,2070,0.05,1966.5
O0048,P004,3,3199,0,9597
O0048,P026,4,7443,0,29772
O0049,P001,2,6957,0.1,12522.6
O0050,P009,2,2070,0.15,3519
O0051,P001,2,6957,0.1,12522.6
O0051,P022,1,7418,0,7418
O0051,P008,4,4364,0,17456
O0051,P028,1,1445,0,1445
O0052,P024,4,8678,0,34712
O0052,P020,2,4578,0,9156
O0052,P009,1,2070,0.15,1759.5
O0053,P029,2,5708,0,11416
O0053,P023,4,5438,0.15,18489.2
O0054,P014,1,3463,0.15,2943.55
O0054,P006,4,5741,0.05,21815.8
O0054,P007,4,7044,0.05,26767.2
O0054,P009,2,2070,0,4140
O0055,P006,3,5741,0,17223
O0055,P016,3,4872,0,14616
O0055,P036,2,3150,0.1,5670
O0056,P004,4,3199,0,12796
O0056,P016,2,4872,0.1,8769.6
O0056,P032,1,6990,0.15,5941.5
O0057,P024,3,8678,0,26034
O0058,P037,2,5229,0.1,9412.2
O0058,P027,1,3527,0,3527
O0058,P024,1,8678,0,8678
O0058,P035,3,6510,0,19530
O0059,P004,4,3199,0.15,10876.6
O0060,P033,4,5143,0,20572
O0060,P027,2,3527,0.05,6701.3
O0060,P028,1,1445,0.05,1372.75
O0061,P033,2,5143,0,10286
O0062,P026,3,7443,0.1,20096.1
O0062,P038,2,305,0,610
O0062,P005,2,705,0,1410
O0063,P008,1,4364,0.05,4145.8
O0063,P030,2,2340,0,4680
O0063,P040,1,5578,0,5578
O0063,P039,1,3742,0,3742
O0064,P023,3,5438,0,16314
O0064,P034,3,3442,0,10326
O0064,P017,1,8645,0.05,8212.75
O0064,P011,4,3943,0.05,14983.4
O0065,P017,1,8645,0.1,7780.5
O0066,P033,2,5143,0.05,9771.7
O0066,P024,2,8678,0.05,16488.2
O0066,P004,1,3199,0.15,2719.15
O0066,P032,1,6990,0,6990
O0067,P003,1,4177,0,4177
O0068,P031,3,5219,0.1,14091.3
O0069,P012,4,7840,0,31360
O0069,P003,3,4177,0,12531
O0070,P021,3,4648,0,13944
O0070,P018,1,5724,0,5724
O0070,P005,2,705,0.15,1198.5
O0070,P037,1,5229,0.1,4706.1
O0071,P030,3,2340,0.05,6669
O0072,P006,1,5741,0.05,5453.95
O0072,P036,2,3150,0.05,5985
O0072,P030,3,2340,0.15,5967
O0073,P030,4,2340,0,9360
O0073,P024,2,8678,0,17356
O0074,P027,1,3527,0,3527
O0075,P001,3,6957,0,20871
O0075,P022,2,7418,0.15,12610.6
O0075,P025,2,3413,0.1,6143.4
O0076,P004,1,3199,0,3199
O0076,P010,4,933,0.05,3545.4
O0076,P018,4,5724,0,22896
O0076,P006,1,5741,0.15,4879.85
O0077,P026,1,7443,0.1,6698.7
O0077,P005,2,705,0,1410
O0078,P017,3,8645,0.05,24638.25
O0078,P021,4,4648,0.05,17662.4
O0078,P026,2,7443,0,14886
O0079,P009,1,2070,0,2070
O0079,P038,1,305,0,305
O0080,P030,3,2340,0,7020
O0080,P021,4,4648,0.05,17662.4
O0080,P027,4,3527,0.05,13402.6
O0080,P008,1,4364,0,4364
O0081,P020,1,4578,0,4578
O0081,P039,3,3742,0,11226
O0082,P016,3,4872,0.1,13154.4
O0083,P020,3,4578,0,13734
O0084,P026,4,7443,0.15,25306.2
O0085,P007,1,7044,0,7044
O0085,P030,1,2340,0,2340
O0086,P015,2,4863,0,9726
O0087,P024,1,8678,0,8678
O0087,P006,1,5741,0,5741
O0087,P038,4,305,0,1220
O0087,P017,1,8645,0.05,8212.75
O0088,P003,4,4177,0,16708
O0089,P037,4,5229,0.1,18824.4
O0089,P028,1,1445,0.1,1300.5
O0090,P012,3,7840,0.1,21168
O0090,P023,2,5438,0,10876
O0090,P014,2,3463,0.05,6579.7
O0090,P018,4,5724,0.1,20606.4
O0091,P004,2,3199,0.1,5758.2
O0091,P006,2,5741,0.15,9759.7
O0091,P018,2,5724,0.15,9730.8
O0091,P025,1,3413,0.1,3071.7
O0092,P031,3,5219,0.15,13308.45
O0092,P035,3,6510,0.1,17577
O0092,P032,3,6990,0,20970
O0093,P021,2,4648,0,9296
O0094,P004,3,3199,0.15,8157.45
O0094,P031,2,5219,0,10438
O0094,P034,1,3442,0,3442
O0095,P018,1,5724,0,5724
O0095,P035,4,6510,0.05,24738
O0096,P012,3,7840,0.05,22344
O0096,P016,1,4872,0.05,4628.4
O0097,P037,4,5229,0.15,17778.6
O0097,P013,3,4027,0,12081
O0098,P003,2,4177,0,8354
O0098,P006,4,5741,0,22964
O0098,P004,3,3199,0.15,8157.45
O0098,P015,2,4863,0,9726
O0099,P012,1,7840,0,7840
O0099,P021,2,4648,0,9296
O0099,P004,3,3199,0,9597
O0100,P026,3,7443,0.05,21212.55
O0100,P038,3,305,0,915
O0100,P007,2,7044,0.1,12679.2
O0101,P021,3,4648,0,13944
O0101,P012,2,7840,0.1,14112
O0101,P036,3,3150,0.05,8977.5
O0101,P040,2,5578,0,11156
O0102,P037,4,5229,0.15,17778.6
O0103,P012,3,7840,0.15,19992
O0104,P037,4,5229,0,20916
O0104,P007,3,7044,0,21132
O0105,P023,2,5438,0,10876
O0105,P021,3,4648,0.1,12549.6
O0106,P017,2,8645,0,17290
O0107,P023,3,5438,0,16314
O0108,P004,4,3199,0.1,11516.4
O0109,P011,3,3943,0.15,10054.65
O0109,P027,4,3527,0,14108
O0109,P032,4,6990,0.15,23766
O0109,P025,2,3413,0,6826
O0110,P005,3,705,0.05,2009.25
O0110,P003,1,4177,0,4177
O0110,P019,3,2188,0,6564
O0110,P002,4,2831,0,11324
O0111,P036,1,3150,0.05,2992.5
O0112,P002,4,2831,0,11324
O0112,P028,1,1445,0,1445
O0112,P011,3,3943,0,11829
O0112,P039,2,3742,0.1,6735.6
O0113,P019,1,2188,0,2188
O0113,P020,4,4578,0.15,15565.2
O0113,P016,4,4872,0,19488
O0114,P024,1,8678,0.1,7810.2
O0115,P019,4,2188,0,8752
O0116,P002,2,2831,0,5662
O0117,P006,3,5741,0.1,15500.7
O0117,P031,4,5219,0.1,18788.4
O0117,P008,3,4364,0,13092
O0118,P012,1,7840,0.05,7448
O0118,P024,4,8678,0.1,31240.8
O0118,P025,3,3413,0,10239
O0118,P029,3,5708,0.15,14555.4
O0119,P010,1,933,0,933
O0120,P035,2,6510,0.15,11067
O0120,P027,1,3527,0.1,3174.3
O0120,P038,4,305,0.15,1037
O0121,P037,1,5229,0.1,4706.1
O0121,P016,1,4872,0.15,4141.2
O0121,P031,2,5219,0,10438
O0121,P020,4,4578,0,18312
O0122,P014,2,3463,0,6926
O0122,P013,4,4027,0,16108
O0123,P013,3,4027,0,12081
O0123,P010,1,933,0.1,839.7
O0123,P039,4,3742,0.15,12722.8
O0123,P017,3,8645,0.05,24638.25
O0124,P001,4,6957,0,27828
O0124,P040,4,5578,0,22312
O0124,P038,2,305,0.15,518.5
O0124,P034,1,3442,0,3442
O0125,P019,3,2188,0.1,5907.6
O0126,P025,4,3413,0,13652
O0126,P032,2,6990,0.05,13281
O0126,P037,4,5229,0,20916
O0127,P003,1,4177,0.1,3759.3
O0127,P026,3,7443,0.05,21212.55
O0127,P022,1,7418,0.05,7047.1
O0127,P016,3,4872,0.05,13885.2
O0128,P032,2,6990,0.05,13281
O0128,P007,4,7044,0.05,26767.2
O0128,P015,3,4863,0.1,13130.1
O0129,P013,4,4027,0,16108
O0130,P032,2,6990,0,13980
O0130,P034,3,3442,0.15,8777.1
O0130,P024,4,8678,0,34712
O0130,P004,1,3199,0,3199
O0131,P013,2,4027,0,8054
O0131,P004,4,3199,0,12796
O0132,P013,4,4027,0.15,13691.8
O0132,P018,4,5724,0,22896
O0132,P024,1,8678,0,8678
O0133,P032,2,6990,0.1,12582
O0133,P039,3,3742,0.05,10664.7
O0133,P029,2,5708,0.05,10845.2
O0134,P019,1,2188,0.1,1969.2
O0135,P011,2,3943,0,7886
O0136,P014,4,3463,0.15,11774.2
O0136,P018,1,5724,0,5724
O0137,P009,2,2070,0.05,3933
O0137,P012,3,7840,0.05,22344
O0137,P039,4,3742,0.1,13471.2
O0137,P001,3,6957,0.1,18783.9
O0138,P014,4,3463,0.15,11774.2
O0138,P030,1,2340,0,2340
O0138,P020,3,4578,0.15,11673.9
O0139,P020,1,4578,0.05,4349.1
O0139,P007,3,7044,0.05,20075.4
O0139,P031,3,5219,0.05,14874.15
O0140,P013,2,4027,0,8054
O0140,P010,4,933,0.05,3545.4
O0140,P034,2,3442,0,6884
O0141,P019,4,2188,0,8752
O0141,P017,2,8645,0.05,16425.5
O0141,P027,2,3527,0.15,5995.9
O0141,P026,4,7443,0.05,28283.4
O0142,P011,3,3943,0,11829
O0142,P036,4,3150,0,12600
O0142,P012,3,7840,0.15,19992
O0143,P022,2,7418,0.05,14094.2
O0143,P006,2,5741,0.05,10907.9
O0144,P022,3,7418,0.1,20028.6
O0144,P024,1,8678,0.1,7810.2
O0144,P017,1,8645,0.15,7348.25
O0144,P038,1,305,0.1,274.5
O0145,P033,4,5143,0.15,17486.2
O0145,P008,3,4364,0.1,11782.8
O0146,P010,2,933,0,1866
O0147,P027,2,3527,0.05,6701.3
O0147,P037,2,5229,0,10458
O0147,P030,4,2340,0.05,8892
O0148,P021,1,4648,0.1,4183.2
O0148,P004,3,3199,0,9597
O0149,P037,4,5229,0,20916
O0149,P011,2,3943,0.15,6703.1
O0150,P028,1,1445,0,1445
O0150,P026,2,7443,0.05,14141.7
O0150,P031,1,5219,0.05,4958.05
O0150,P025,2,3413,0,6826
O0151,P016,2,4872,0.05,9256.8
O0152,P009,3,2070,0,6210
O0152,P007,1,7044,0,7044
O0152,P025,3,3413,0.05,9727.05
O0153,P034,2,3442,0.05,6539.8
O0153,P039,4,3742,0.05,14219.6
O0153,P022,2,7418,0,14836
O0153,P028,4,1445,0,5780
O0154,P015,2,4863,0,9726
O0154,P009,2,2070,0,4140
O0155,P003,1,4177,0.15,3550.45
O0155,P025,1,3413,0,3413
O0155,P017,1,8645,0,8645
O0156,P027,4,3527,0.1,12697.2
O0157,P036,3,3150,0.1,8505
O0158,P014,3,3463,0.1,9350.1
O0158,P001,1,6957,0.15,5913.45
O0159,P040,4,5578,0,22312
O0159,P039,1,3742,0.05,3554.9
O0159,P009,1,2070,0,2070
O0160,P013,2,4027,0.05,7651.3
O0160,P039,4,3742,0.05,14219.6
O0160,P017,2,8645,0,17290
O0160,P034,4,3442,0,13768
O0161,P022,1,7418,0.15,6305.3
O0161,P016,4,4872,0,19488
O0161,P001,1,6957,0.15,5913.45
O0161,P006,1,5741,0,5741
O0162,P015,3,4863,0.1,13130.1
O0162,P030,1,2340,0,2340
O0162,P019,2,2188,0,4376
O0163,P024,1,8678,0,8678
O0163,P021,1,4648,0,4648
O0163,P028,2,1445,0,2890
O0164,P023,3,5438,0,16314
O0164,P029,3,5708,0.05,16267.8
O0164,P040,2,5578,0,11156
O0165,P026,4,7443,0.1,26794.8
O0165,P030,2,2340,0,4680
O0165,P018,2,5724,0,11448
O0165,P025,2,3413,0,6826
O0166,P038,2,305,0.15,518.5
O0166,P031,4,5219,0.05,19832.2
O0166,P037,1,5229,0,5229
O0166,P029,4,5708,0.1,20548.8
O0167,P027,4,3527,0,14108
O0168,P017,3,8645,0,25935
O0169,P022,1,7418,0.1,6676.2
O0169,P034,2,3442,0.1,6195.6
O0170,P025,1,3413,0,3413
O0170,P010,2,933,0.15,1586.1
O0170,P036,4,3150,0.1,11340
O0171,P005,3,705,0,2115
O0171,P032,3,6990,0.05,19921.5
O0172,P033,2,5143,0.15,8743.1
O0173,P026,4,7443,0.15,25306.2
O0173,P016,4,4872,0,19488
O0173,P006,4,5741,0.1,20667.6
O0173,P030,3,2340,0,7020
O0174,P002,1,2831,0.15,2406.35
O0174,P007,1,7044,0,7044
O0174,P026,3,7443,0.15,18979.65
O0174,P027,2,3527,0.1,6348.6
O0175,P024,4,8678,0.05,32976.4
O0175,P004,4,3199,0.05,12156.2
O0175,P015,4,4863,0,19452
O0176,P015,1,4863,0.05,4619.85
O0177,P019,3,2188,0,6564
O0177,P036,1,3150,0,3150
O0177,P034,4,3442,0,13768
O0178,P007,2,7044,0,14088
O0178,P017,4,8645,0,34580
O0178,P040,4,5578,0,22312
O0178,P013,3,4027,0,12081
O0179,P003,4,4177,0.15,14201.8
O0179,P038,2,305,0.1,549
O0179,P008,1,4364,0.15,3709.4
O0179,P029,1,5708,0.15,4851.8
O0180,P038,2,305,0,610
O0180,P031,1,5219,0.1,4697.1
O0180,P033,3,5143,0.15,13114.65
O0180,P012,4,7840,0.1,28224
O0181,P018,3,5724,0.05,16313.4
O0181,P026,4,7443,0,29772
O0182,P027,3,3527,0.15,8993.85
O0182,P039,3,3742,0.15,9542.1
O0183,P013,3,4027,0.05,11476.95
O0183,P014,2,3463,0,6926
O0184,P008,4,4364,0.15,14837.6
O0184,P023,4,5438,0.15,18489.2
O0184,P036,3,3150,0.1,8505
O0185,P034,1,3442,0,3442
O0186,P010,2,933,0.05,1772.7
O0186,P004,3,3199,0,9597
O0186,P013,1,4027,0.05,3825.65
O0186,P018,2,5724,0.15,9730.8
O0187,P023,4,5438,0,21752
O0188,P036,2,3150,0.15,5355
O0188,P025,3,3413,0,10239
O0189,P025,1,3413,0,3413
O0189,P027,3,3527,0,10581
O0189,P021,4,4648,0,18592
O0189,P036,3,3150,0.15,8032.5
O0190,P013,4,4027,0,16108
O0190,P019,1,2188,0,2188
O0191,P033,4,5143,0,20572
O0191,P008,4,4364,0.05,16583.2
O0192,P009,3,2070,0,6210
O0192,P011,3,3943,0.1,10646.1
O0192,P038,2,305,0,610
O0193,P021,1,4648,0.15,3950.8
O0193,P039,3,3742,0.1,10103.4
O0194,P005,2,705,0,1410
O0194,P021,1,4648,0.15,3950.8
O0194,P034,2,3442,0.1,6195.6
O0195,P006,3,5741,0.05,16361.85
O0195,P023,3,5438,0.05,15498.3
O0195,P015,2,4863,0.15,8267.1
O0195,P014,4,3463,0.15,11774.2
O0196,P008,3,4364,0.1,11782.8
O0197,P040,1,5578,0.05,5299.1
O0197,P016,4,4872,0,19488
O0198,P017,3,8645,0.15,22044.75
O0198,P035,4,6510,0.1,23436
O0198,P019,1,2188,0.05,2078.6
O0198,P002,2,2831,0.05,5378.9
O0199,P007,2,7044,0.15,11974.8
O0200,P005,2,705,0,1410
O0201,P007,1,7044,0,7044
O0201,P014,1,3463,0.1,3116.7
O0201,P035,3,6510,0,19530
O0201,P028,1,1445,0,1445
O0202,P012,3,7840,0.15,19992
O0203,P037,2,5229,0.05,9935.1
O0204,P025,3,3413,0,10239
O0204,P029,4,5708,0,22832
O0204,P026,1,7443,0.15,6326.55
O0204,P028,1,1445,0.15,1228.25
O0205,P005,3,705,0.15,1797.75
O0206,P019,3,2188,0.15,5579.4
O0207,P019,4,2188,0.1,7876.8
O0208,P002,2,2831,0,5662
O0208,P031,4,5219,0.15,17744.6
O0208,P011,3,3943,0,11829
O0208,P035,3,6510,0.05,18553.5
O0209,P036,2,3150,0,6300
O0210,P001,4,6957,0.15,23653.8
O0211,P020,2,4578,0.05,8698.2
O0212,P027,2,3527,0,7054
O0212,P033,2,5143,0,10286
O0213,P013,1,4027,0.15,3422.95
O0213,P008,4,4364,0.15,14837.6
O0213,P012,1,7840,0.05,7448
O0214,P017,1,8645,0,8645
O0215,P022,1,7418,0.05,7047.1
O0215,P023,1,5438,0,5438
O0215,P009,3,2070,0.1,5589
O0215,P016,4,4872,0.05,18513.6
O0216,P038,3,305,0.05,869.25
O0216,P010,4,933,0,3732
O0216,P037,1,5229,0.05,4967.55
O0217,P015,3,4863,0.05,13859.55
O0217,P028,2,1445,0.05,2745.5
O0218,P030,4,2340,0.15,7956
O0218,P029,1,5708,0,5708
O0218,P023,1,5438,0.05,5166.1
O0218,P020,2,4578,0.15,7782.6
O0219,P017,1,8645,0,8645
O0219,P005,1,705,0.15,599.25
O0220,P038,3,305,0.15,777.75
O0220,P014,4,3463,0,13852
O0220,P003,3,4177,0.1,11277.9
O0220,P036,2,3150,0.15,5355
O0221,P009,1,2070,0.1,1863
O0221,P030,3,2340,0.15,5967
O0221,P033,1,5143,0,5143
O0222,P033,4,5143,0,20572
O0222,P009,2,2070,0.15,3519
O0223,P031,1,5219,0,5219
O0223,P023,4,5438,0,21752
O0224,P017,3,8645,0,25935
O0225,P014,3,3463,0.1,9350.1
O0226,P030,3,2340,0.05,6669
O0226,P003,2,4177,0.1,7518.6
O0226,P021,4,4648,0.05,17662.4
O0226,P007,1,7044,0.15,5987.4
O0227,P025,4,3413,0.05,12969.4
O0227,P015,3,4863,0.1,13130.1
O0227,P034,4,3442,0.15,11702.8
O0228,P033,2,5143,0.1,9257.4
O0229,P015,3,4863,0,14589
O0229,P005,2,705,0,1410
O0230,P024,1,8678,0,8678
O0230,P039,4,3742,0.05,14219.6
O0231,P031,4,5219,0.1,18788.4
O0232,P038,4,305,0,1220
O0232,P011,2,3943,0,7886
O0233,P037,2,5229,0,10458
O0233,P038,1,305,0.15,259.25
O0234,P004,3,3199,0,9597
O0234,P011,4,3943,0.15,13406.2
O0235,P019,1,2188,0,2188
O0236,P039,4,3742,0.15,12722.8
O0236,P031,2,5219,0.15,8872.3
O0236,P011,2,3943,0.15,6703.1
O0236,P015,3,4863,0,14589
O0237,P030,1,2340,0,2340
O0237,P039,4,3742,0.1,13471.2
O0237,P038,2,305,0,610
O0238,P013,4,4027,0,16108
O0239,P012,4,7840,0.15,26656
O0240,P035,1,6510,0,6510
O0241,P009,4,2070,0.15,7038
O0241,P039,4,3742,0.05,14219.6
O0241,P035,1,6510,0.15,5533.5
O0241,P001,4,6957,0,27828
O0242,P025,1,3413,0.1,3071.7
O0242,P023,2,5438,0.05,10332.2
O0242,P038,4,305,0,1220
O0242,P037,1,5229,0.05,4967.55
O0243,P017,1,8645,0.15,7348.25
O0243,P013,1,4027,0.1,3624.3
O0243,P001,2,6957,0.05,13218.3
O0243,P037,4,5229,0.05,19870.2
O0244,P010,4,933,0.15,3172.2
O0245,P017,3,8645,0.15,22044.75
O0245,P035,3,6510,0.1,17577
O0245,P028,2,1445,0.1,2601
O0246,P012,3,7840,0.05,22344
O0246,P024,3,8678,0.1,23430.6
O0246,P036,2,3150,0,6300
O0246,P031,2,5219,0.1,9394.2
O0247,P007,4,7044,0.05,26767.2
O0247,P014,1,3463,0,3463
O0248,P001,4,6957,0,27828
O0248,P006,1,5741,0.05,5453.95
O0248,P010,2,933,0.05,1772.7
O0248,P031,1,5219,0.15,4436.15
O0249,P025,4,3413,0.15,11604.2
O0250,P039,4,3742,0.1,13471.2
O0250,P004,1,3199,0,3199
O0250,P012,3,7840,0,23520
O0251,P039,2,3742,0.15,6361.4
O0252,P003,2,4177,0,8354
O0252,P024,2,8678,0,17356
O0253,P026,2,7443,0.15,12653.1
O0253,P023,1,5438,0,5438
O0253,P038,1,305,0.15,259.25
O0254,P036,3,3150,0.05,8977.5
O0254,P038,2,305,0.15,518.5
O0254,P023,2,5438,0.1,9788.4
O0255,P037,4,5229,0.15,17778.6
O0255,P001,1,6957,0.15,5913.45
O0255,P017,1,8645,0.15,7348.25
O0255,P012,3,7840,0.05,22344
O0256,P033,3,5143,0.15,13114.65
O0257,P029,4,5708,0,22832
O0257,P025,3,3413,0.1,9215.1
O0257,P037,4,5229,0.15,17778.6
O0258,P031,1,5219,0.05,4958.05
O0259,P025,2,3413,0,6826
O0260,P027,1,3527,0.05,3350.65
O0260,P023,2,5438,0.05,10332.2
O0260,P034,1,3442,0.1,3097.8
O0261,P005,4,705,0.05,2679
O0261,P036,3,3150,0,9450
O0261,P012,3,7840,0,23520
O0262,P032,2,6990,0,13980
O0262,P013,3,4027,0,12081
O0263,P013,3,4027,0,12081
O0263,P016,1,4872,0,4872
O0264,P032,1,6990,0.15,5941.5
O0265,P031,3,5219,0.15,13308.45
O0266,P032,4,6990,0,27960
O0266,P037,3,5229,0.1,14118.3
O0266,P018,2,5724,0.15,9730.8
O0267,P004,4,3199,0.1,11516.4
O0267,P034,1,3442,0.15,2925.7
O0268,P026,1,7443,0.15,6326.55
O0268,P012,4,7840,0.05,29792
O0268,P030,1,2340,0,2340
O0269,P025,1,3413,0.05,3242.35
O0269,P038,3,305,0.15,777.75
O0270,P012,2,7840,0.05,14896
O0270,P036,4,3150,0.15,10710
O0270,P017,3,8645,0.05,24638.25
O0271,P032,2,6990,0.1,12582
O0271,P028,3,1445,0.05,4118.25
O0272,P018,2,5724,0.15,9730.8
O0272,P029,2,5708,0,11416
O0272,P012,3,7840,0,23520
O0272,P037,4,5229,0.1,18824.4
O0273,P010,1,933,0,933
O0273,P031,4,5219,0.1,18788.4
O0274,P034,3,3442,0.1,9293.4
O0274,P035,3,6510,0.05,18553.5
O0275,P026,1,7443,0,7443
O0276,P014,3,3463,0.1,9350.1
O0277,P029,3,5708,0.05,16267.8
O0278,P024,3,8678,0,26034
O0278,P036,4,3150,0,12600
O0278,P017,3,8645,0.15,22044.75
O0279,P037,2,5229,0.05,9935.1
O0279,P035,3,6510,0.05,18553.5
O0280,P029,3,5708,0.1,15411.6
O0280,P006,2,5741,0,11482
O0280,P025,3,3413,0.1,9215.1
O0280,P040,4,5578,0,22312
O0281,P011,3,3943,0,11829
O0282,P021,4,4648,0.05,17662.4
O0282,P019,4,2188,0.05,8314.4
O0282,P018,4,5724,0.1,20606.4
O0283,P012,2,7840,0,15680
O0283,P002,3,2831,0,8493
O0284,P011,1,3943,0,3943
O0284,P026,1,7443,0.1,6698.7
O0285,P002,4,2831,0.15,9625.4
O0286,P007,3,7044,0.15,17962.2
O0287,P006,3,5741,0,17223
O0287,P025,2,3413,0.05,6484.7
O0288,P009,1,2070,0.05,1966.5
O0288,P034,3,3442,0.1,9293.4
O0288,P011,4,3943,0.15,13406.2
O0288,P002,3,2831,0.15,7219.05
O0289,P009,4,2070,0.15,7038
O0289,P035,4,6510,0.15,22134
O0289,P012,3,7840,0.05,22344
O0289,P038,4,305,0.15,1037
O0290,P006,3,5741,0.05,16361.85
O0290,P029,4,5708,0.05,21690.4
O0291,P020,1,4578,0.15,3891.3
O0291,P001,2,6957,0.05,13218.3
O0292,P031,4,5219,0.1,18788.4
O0292,P035,3,6510,0,19530
O0292,P001,4,6957,0.05,26436.6
O0293,P001,3,6957,0,20871
O0293,P036,4,3150,0.15,10710
O0294,P026,4,7443,0,29772
O0294,P016,3,4872,0,14616
O0294,P011,4,3943,0,15772
O0294,P025,3,3413,0.05,9727.05
O0295,P027,2,3527,0,7054
O0295,P013,3,4027,0,12081
O0295,P005,4,705,0.15,2397
O0296,P018,3,5724,0,17172
O0296,P040,2,5578,0,11156
O0296,P032,1,6990,0,6990
O0296,P013,1,4027,0.05,3825.65
O0297,P009,2,2070,0,4140
O0297,P029,2,5708,0,11416
